text,A,B,C,D,correct_answer
_ puccini sculpture opera,cellini,rembrandt,wagner,petrarch,0
_ speech coordinated movement,predictive,rapid,prophetic,articulate,3
inception conclusion _ arrival,upshot,culmination,departure,escapade,2
scintillating dullness _ calm,erudite,boisterous,cautious,exalted,1
elucidate clarity illuminate _,memory,problem,oblivion,light,3
shard pottery _ wood,acorn,smoke,chair,splinter,3
conifer _ grass prairie,taiga,scandinavia,steppe,tundra,0
penury money starvation _,sustenance,infirmity,illness,care,0
arable land _ waterway,impenetrable,navigable,fertile,shallow,1
attenuate signal _ enthusiasm,exacerbate,modify,dampen,elongate,2
_ slag fire ashes,quarry,furnace,automobile,silo,1
17 19 _ 37,39,36,34,31,3
sri lanka thailand _ siam,ceylon,malaysia,burma,colombo,0
_ -ly adjective adverb,ion,-ful,-ity,-ily,1
pitch _ wavelength amplitude,sound,timbre,loudness,color,2
elected _ condemned execution,graduation,inauguration,dismissal,exhibition,1
dividend stockholder _ author,patent,royalty,wage,interest,1
archipelago island constellation _,hamlet,zodiac,sea,star,3
_ elaboration simplification decoration,prï¿½cis,revision,emendation,prodigality,0
_ walk simper smile,mince,wave,waltz,hike,0
twain clemens eliot _,george,mary,bronte,evans,3
fenestration _ portal door,mural,table,window,atrium,2
_ marble sedimentary metamorphic,granite,slate,limestone,basalt,2
_ lenient miser charitable,philanthropist,virtuoso,hedonist,authoritarian,3
allay suspicion _ fear,plant,anger,generate,calm,3
mendel newton genetics _,history,mechanics,linguistics,astrology,1
directory address dictionary _,spelling,solecism,thesaurus,encyclopedia,0
foot boot _ bough,cough,bout,plough,tree,0
_ eye cochlea ear,sinus,mollusk,fovea,fontanel,2
_ parallelogram 1 2,square,rhombus,trapezium,cube,2
boast language swagger _,anger,gait,sight,wealth,1
belittle disparage _ ridicule,jeopardize,efface,assuage,deride,3
_ innocuous reprehensible praiseworthy,pretentious,virulent,antiseptic,widespread,1
_ minimalist ornate unadorned,rococo,cubist,pastoral,pointillist,0
desecrate _ despoil beautiful,holy,ugly,rich,corporeal,0
virtuoso accomplished _ generous,aesthete,hedonist,mogul,philanthropist,3
emit mite evil _,huge,vile,veil,time,1
homogeneous kind _ time,fast,disparate,diverse,contemporary,3
anthracite _ hard soft,diamond,peat,mica,uranium,1
authentic apocryphal conventional _,dangerous,unorthodox,religious,chaotic,1
_ iodine yellow purple,water,litmus,sulfur,alcohol,2
stanza poem _ novel,chapter,preface,sentence,language,0
baikal _ tanganyika tanzania,canada,jutland,sahara,siberia,3
fragment merge _ join,engage,loosen,splinter,mend,2
prolific _ fertile barren,withered,blooming,unfruitful,stale,2
glass _ metal luster,portability,delicacy,porosity,translucence,3
_ pine spine cactus,crocus,trunk,flower,needle,3
macbeth othello _ jealousy,royalty,solitude,ambition,foresight,2
ohm resistance _ potential,ampere,joule,volt,watt,2
_ story limerick poem,anecdote,novel,prose,overture,0
expedite _ facilitate make easier,conscript,make harder,stretch,hasten,3
diffident confidence unstable _,peculiarity,balance,fervor,vigor,1
erudite learning _ caprice,whimsical,elegant,generous,conscientious,0
_ square 540 360,triangle,rectangle,pentagon,hexagon,2
apocryphal certainty chaotic _,orthodoxy,order,incongruity,piety,1
indefatigable energy _ wisdom,illustrious,sagacious,enervated,experienced,1
mauna loa etna hawaii _,sicily,alps,crete,bosporus,0
cubism picasso _ dali,romanticism,classicism,realism,surrealism,3
_ actor solo singer,monologue,performance,repertoire,drama,0
stoic _ benefactor generosity,faith,fortitude,ineptitude,charity,1
earth _ mars phobos,venus,sirius,moon,sun,2
diplomat tact _ skill,novice,virtuoso,sybarite,dilettante,1
outwit ruse frustrate _,desire,fiasco,irritant,statute,0
cottage _ pond lake,hamlet,camp,tent,mansion,3
_ faulkner wessex yoknapatawpha,dickens,hardy,hawthorne,sawyer,1
_ vengeful conciliate flexible,ameliorate,retaliate,ruminate,iterate,1
sporadic continuous _ cacophonous,tranquil,cathartic,perennial,fitful,0
hone sharp _ shiny,. caulk,. scald,. burnish,. rusticate,2
_ hypothesis deduce theorem,adjudge,terminate,abrogate,formulate,3
devangiri cyrillic hindi _,russian,swahili,french,sanskrit,0
raconteur narrate _ entertain,ruffian,recluse,host,spendthrift,2
tawdry showy meretricious _,attractive,urbane,delicate,flexible,0
_ magnesium liquid solid,copper,mercury,aluminum,sulfur,1
appendix book _ play,. overture,. premise,. glossary,. epilogue,3
hypotenuse perimeter arc _,radius,diameter,circumference,diagonal,2
_ displeasure fidget restlessness,hunch,frown,strut,squirm,1
ream paper _ hay,hutch,bale,coop,quart,1
perforation seal _ skin,contraption,adhesion,scar,laceration,3
argon element _ compound,copper,water,oxygen,lead,1
probity guile _ laziness,industry,felicity,ingenuity,decorum,0
turnip _ potato stem,flower,vegetable,root,gourd,2
0,1/8,1/9,1/16,1/20,0
_ separate join rend,desecrate,capitulate,promulgate,amalgamate,3
carouse sedate enthuse _,lukewarm,voluble,hidden,controversial,0
zealot passion _ deception,patriarch,quack,sybarite,libertarian,1
_ jung economics psychiatry,freud,pasteur,keynes,leavis,2
frankenstein shelley dracula _,poe,collins,byron,stoker,3
choleric anger _ doubt,narcissistic,gullible,skeptical,sanguine,2
_ treacle satin smooth,saccharine,volatile,viscous,brittle,2
avarice _ ambition success,money,success,respect,trepidation,0
sneer contempt _ anger,lament,glower,confess,chide,1
_ quarrel skirmish battle,war,tiff,fiasco,rendezvous,1
dappled spots riddled _,holes,lines,squares,stains,0
arena conflict _ debate,forum,agenda,precinct,building,0
petrify stone ossify _,disinterest,inscription,bone,saint,2
_ cause sectarian sect,skeptic,pariah,maverick,partisan,3
calorie joule _ meter,second,radian,inch,kilogram,2
_ surpassed indisputable challenged,grandiose,peerless,opaque,lavish,1
embarkation voyage _ project,criterion,inception,delineation,diatribe,1
acrobat _ surgeon dextrous,nuanced,circumspect,lithe,bombastic,2
stanch flow _ oscillation,corroborate,whet,validate,damp,3
_ number dilate size,disseminate,promulgate,atrophy,proliferate,3
somme _ 1916 1815,waterloo,hastings,iwo jima,pearl harbor,0
_ body rational mind,sartorial,macroscopic,corporeal,fetal,2
venus _ aphrodite athene,minerva,juno,sappho,diana,0
solve mystery _ code,ensure,decipher,encrypt,conquer,1
lionize celebrity _ idol,worship,ostracize,swindle,decorate,0
_ pupil deport alien,inter,educate,test,expel,3
oboe _ cello violin,double bass,trombone,flute,piano,2
conflagration _ metropolis city,fire,building,town,brook,0
sluggard energy slattern _,disorder,expression,laziness,tidiness,3
jutland _ hokkaido japan,germany,denmark,new zealand,british isles,1
_ local mercenary money,parochial,miserly,capricious,germinal,0
incarceration prison _ isolation,moratorium,sequestration,dejection,pedantry,1
ingrate gratitude profligate _,amorousness,virtue,frugality,timidity,2
_ sincere flustered composed,arrogant,disinterested,blatant,hypocritical,3
malinger work _ obligation,shirk,fulfill,fight,invent,0
ubiquitous everywhere _ forever,impervious,penetrable,endemic,eternal,3
ph 5 ph 7 _ neutral,alkaline,acid,basic,caustic,1
_ emphasis adorn decoration,confound,underplay,underscore,undermine,2
wood _ butter knife,string,paper,saw,drill,2
ford _ stream mountain,pass,route,field,scale,0
support patron _ inspiration,braggart,muse,parent,soldier,1
_ warden museum prison,archaeologist,servant,conductor,curator,3
incumbent office monarch _,presidency,accommodation,station,throne,3
_ experience vagrant abode,protestor,magnate,neophyte,scholar,2
symphony music _ poem,epic,anecdote,opera,anthem,0
_ palindrome rearranged reversed,epithet,metaphor,acronym,anagram,3
synthesis parts confluence _,mergers,streams,ores,parallels,1
salk pasteur polio _,rabies,liquids,smallpox,antibodies,0
criteria data criterion _,information,datum,item,date,1
bellicose _ pliant tractability,compliance,aggression,vacillation,sobriety,1
choleric anger _ optimism,sanguine,saturnine,introverted,jaundiced,0
tortuous _ venal venial,trivial,arduous,torturous,corrupt,2
_ ameliorate worse better,elucidate,engender,accredit,exacerbate ,3
tarsal _ carpal wrist,heel,toe,tunnel,hinge,0
portion dose food _,rain,drug,dessert,amount,1
essay thesis article _,protagonist,book,fiction,topic,3
musician virtuoso bard _,journalist,poet,politician,sophomore,1
furtive behavior _ action,evanescent,cerebral,conditioned,covert,3
bovine ovine cow _,sheep,chickens,calf,lowing,0
dna nucleotide protein _,amino acid,ribosome,fatty acid,carbohydrate,0
beacon _ precept principle,shroud,light,confusion,call,1
extricate ensnared _ enslaved,entice,condone,coordinate,liberate,3
editorial _ biography life history,doctrine,censorship,synopsis,opinion,3
fetter _ gag speech,leg,movement,catacomb,law breaking,1
_ deadlock quandary dilemma,moratorium,impasse,exegesis,paradigm,1
catharsis emotion absolution _,malady,innocence,guilt,mourning,2
lyell dalton geology _,biology,chemistry,sociology,music,1
nascent _ germinal senescent,sophomoric,covetous,moribund,shrewd,2
