: miler-analogy-test
cellini puccini sculpture opera
articulate speech coordinated movement
inception conclusion departure arrival
scintillating dullness boisterous calm
elucidate clarity illuminate light
shard pottery splinter wood
conifer taiga grass prairie
penury money starvation sustenance
arable land navigable waterway
attenuate signal dampen enthusiasm
furnace slag fire ashes
17 19 31 37
sri lanka thailand ceylon siam
-ful -ly adjective adverb
pitch loudness wavelength amplitude
elected inauguration condemned execution
dividend stockholder royalty author
archipelago island constellation star
prï¿½cis elaboration simplification decoration
mince walk simper smile
twain clemens eliot evans
fenestration window portal door
limestone marble sedimentary metamorphic
authoritarian lenient miser charitable
allay suspicion calm fear
mendel newton genetics mechanics
directory address dictionary spelling
foot boot cough bough
fovea eye cochlea ear
trapezium parallelogram 1 2
boast language swagger gait
belittle disparage deride ridicule
virulent innocuous reprehensible praiseworthy
rococo minimalist ornate unadorned
desecrate holy despoil beautiful
virtuoso accomplished philanthropist generous
emit mite evil vile
homogeneous kind contemporary time
anthracite peat hard soft
authentic apocryphal conventional unorthodox
sulfur iodine yellow purple
stanza poem chapter novel
baikal siberia tanganyika tanzania
fragment merge splinter join
prolific unfruitful fertile barren
glass translucence metal luster
needle pine spine cactus
macbeth othello ambition jealousy
ohm resistance volt potential
anecdote story limerick poem
expedite hasten facilitate make easier
diffident confidence unstable balance
erudite learning whimsical caprice
pentagon square 540 360
apocryphal certainty chaotic order
indefatigable energy sagacious wisdom
mauna loa etna hawaii sicily
cubism picasso surrealism dali
monologue actor solo singer
stoic fortitude benefactor generosity
earth moon mars phobos
diplomat tact virtuoso skill
outwit ruse frustrate desire
cottage mansion pond lake
hardy faulkner wessex yoknapatawpha
retaliate vengeful conciliate flexible
sporadic continuous tranquil cacophonous
hone sharp . burnish shiny
formulate hypothesis deduce theorem
devangiri cyrillic hindi russian
raconteur narrate host entertain
tawdry showy meretricious attractive
mercury magnesium liquid solid
appendix book . epilogue play
hypotenuse perimeter arc circumference
frown displeasure fidget restlessness
ream paper bale hay
perforation seal laceration skin
argon element water compound
probity guile industry laziness
turnip root potato stem
0
amalgamate separate join rend
carouse sedate enthuse lukewarm
zealot passion quack deception
keynes jung economics psychiatry
frankenstein shelley dracula stoker
choleric anger skeptical doubt
viscous treacle satin smooth
avarice money ambition success
sneer contempt glower anger
tiff quarrel skirmish battle
dappled spots riddled holes
arena conflict forum debate
petrify stone ossify bone
partisan cause sectarian sect
calorie joule inch meter
peerless surpassed indisputable challenged
embarkation voyage inception project
acrobat lithe surgeon dextrous
stanch flow damp oscillation
proliferate number dilate size
somme waterloo 1916 1815
corporeal body rational mind
venus minerva aphrodite athene
solve mystery decipher code
lionize celebrity worship idol
expel pupil deport alien
oboe flute cello violin
conflagration fire metropolis city
sluggard energy slattern tidiness
jutland denmark hokkaido japan
parochial local mercenary money
incarceration prison sequestration isolation
ingrate gratitude profligate frugality
hypocritical sincere flustered composed
malinger work shirk obligation
ubiquitous everywhere eternal forever
ph 5 ph 7 acid neutral
underscore emphasis adorn decoration
wood saw butter knife
ford pass stream mountain
support patron muse inspiration
curator warden museum prison
incumbent office monarch throne
neophyte experience vagrant abode
symphony music epic poem
anagram palindrome rearranged reversed
synthesis parts confluence streams
salk pasteur polio rabies
criteria data criterion datum
bellicose aggression pliant tractability
choleric anger sanguine optimism
tortuous torturous venal venial
exacerbate  ameliorate worse better
tarsal heel carpal wrist
portion dose food drug
essay thesis article topic
musician virtuoso bard poet
furtive behavior covert action
bovine ovine cow sheep
dna nucleotide protein amino acid
beacon light precept principle
extricate ensnared liberate enslaved
editorial opinion biography life history
fetter movement gag speech
impasse deadlock quandary dilemma
catharsis emotion absolution guilt
lyell dalton geology chemistry
nascent moribund germinal senescent
